,count,mean,std,min,25%,50%,75%,max,variance,skewness,kurtosis
x_mean_fft,583.0,47.39791216070839,75.85016205922263,0.0,10.498017177188846,20.95910863327695,31.777175288369232,367.8973738559767,5753.2470844103345,2.3369935316527037,4.5742076067972945
y_mean_fft,583.0,33.35278216045869,56.24884792828484,3.4106051316484808e-15,7.892593442399903,14.740801914601574,22.686459411645288,466.4087885694332,3163.9328932593135,3.7998917790310474,19.867177539205088
z_mean_fft,583.0,27.44225617409901,42.463685864590026,1.949934518158749e-15,5.88654987190268,12.145255974393262,20.567380928888017,200.0060224147587,1803.1646172065828,2.3231375260839764,4.453508416964297
x_std_fft,583.0,22.385236947011467,36.76446298414389,0.0,4.65037725956587,9.04353072937877,14.089738660227194,195.19945289569324,1351.6257385124864,2.3544539299228635,4.772117467052347
y_std_fft,583.0,19.291968684912465,69.19411321415171,1.764894329455731e-14,3.3376005528496053,6.590996154065827,10.493981040191159,990.0621152685924,4787.825303492844,11.204025655798409,141.0084700861192
z_std_fft,583.0,13.320010134897418,28.097219024331135,2.8002280974764995e-15,2.542994480498414,5.266734898373889,9.915854975934092,333.39237181001016,789.4537169012355,6.572809853857972,60.86601432692222
x_aad_fft,583.0,18.35156293956601,30.29700311836102,0.0,3.7670367387536654,7.4580355941800285,11.739719441595197,160.6479976675862,917.9083979539773,2.3768201228871786,4.904448275590946
y_aad_fft,583.0,14.202317770308813,37.4599427364702,6.548361852765083e-15,2.728430946251927,5.460731453550149,8.725165873004478,458.228492704334,1403.247309819626,8.634800178545575,89.64849953580483
z_aad_fft,583.0,10.40864819276689,18.253061775793647,1.4566126083082053e-15,2.0880237605792122,4.293805000915064,8.002509426134745,153.86868896074225,333.1742641909391,3.8100560700838617,19.246863836654505
x_min_fft,583.0,7.667152539026193,13.01809894692741,0.0,0.8773399261171128,2.9137793619609345,7.395372541857135,89.9845320952744,169.4709001919925,3.0531058356893737,10.536028516407049
y_min_fft,583.0,5.133491446181603,8.645231304868796,0.0,0.6840771475406082,1.9308983248940497,4.86019012910519,60.48575885712263,74.74002431468341,3.030470833912733,10.529287726874916
z_min_fft,583.0,5.14215909421645,12.736301236624845,0.0,0.5826073657724679,1.701406659984627,3.818050260608127,99.00220757373984,162.21336919005154,5.111979757814283,29.10551088386756
x_max_fft,583.0,101.09787536756953,164.23822926502703,0.0,22.224906775547545,42.66425095638447,63.13286109505154,903.402165379867,26974.19595211158,2.3400370533112866,4.68595209781672
y_max_fft,583.0,94.05693590777712,420.85594724377205,1.1368683772161605e-13,16.066595975664978,29.0,46.157064836178264,6746.452983483243,177119.72833045266,13.333332561251233,194.9585078851372
z_max_fft,583.0,63.602876025600104,158.87684215645692,2.8421709430404014e-14,12.337720694181069,23.21894302260016,42.733703336182344,2274.186579395955,25241.85097360773,9.348373971755972,115.84899723373168
x_maxmin_diff_fft,583.0,93.43072282854331,154.26050019157373,0.0,18.43720677883632,38.35729738050883,58.271229444918696,830.3701583903188,23796.301919354515,2.357242698982669,4.7726027684418995
y_maxmin_diff_fft,583.0,88.92344446159551,419.6335542794788,1.1368683772161605e-13,14.492792607053804,26.515805724339085,41.613445821209226,6745.452983483243,176092.3198772283,13.46030566254907,197.54274382757416
z_maxmin_diff_fft,583.0,58.46071693138366,155.55847994770917,1.6875389974302383e-14,10.395432424191759,21.74878825763293,38.53153437697154,2273.186579395955,24198.440683641835,9.944458121438476,127.01654650622089
x_median_fft,583.0,45.584388817339246,73.0975888509718,0.0,10.12822722425966,20.034182514842268,31.238897081243984,371.5560362847754,5343.257495825716,2.3920795048314707,4.970669059947193
y_median_fft,583.0,31.04997627766823,46.31052432294208,0.0,7.93156221846369,14.58683185563006,22.51884482348418,242.5827997452302,2144.66466306581,2.411516333227735,5.3290565891370605
z_median_fft,583.0,26.475393876951212,41.194875008400004,0.0,5.3368877467218905,11.864776973267052,20.123160005867604,207.25706959202935,1697.017726957699,2.408324508834764,5.027187880789231
x_mad_fft,583.0,15.783049137676239,26.423746974760846,0.0,3.3084950194687623,6.262976807277752,10.334214796078289,139.50068034155055,698.214404186183,2.466815553615208,5.548096728032522
y_mad_fft,583.0,10.512725160637446,17.075777103694552,0.0,2.354008798808949,4.6584706965957645,7.842436103544366,116.67071375943208,291.5821636950591,3.1241671256442882,11.266679221301615
z_mad_fft,583.0,8.560718249861043,13.300645182699999,0.0,1.7633982035218096,3.602074951836312,7.14180715586476,81.25304028147197,176.9071622760807,2.6415990412644237,7.461399755867575
x_IQR_fft,583.0,31.80937404819385,52.8952426510641,0.0,6.520000632326813,12.499014086200305,20.825613014088844,280.9904027224188,2797.906695114951,2.3894838393838476,4.967641165313333
y_IQR_fft,583.0,21.195585183907134,34.42371878802093,0.0,4.7087415062602584,9.438104612228322,15.343151882211655,225.05243324780625,1184.992415196745,3.0559077051337886,10.58277875844281
z_IQR_fft,583.0,17.07267347839913,26.628855564292618,0.0,3.521904686348213,7.286722527201185,14.075333314929313,163.04389920392018,709.0959486639579,2.622831703394198,7.229520571751829
x_above_mean_fft,583.0,20.289879931389365,8.740828309652546,0.0,21.0,23.0,25.0,31.0,76.40207953882337,-1.6735080505668767,1.3089233232365207
y_above_mean_fft,583.0,23.099485420240136,4.8620541113286775,2.0,22.0,24.0,26.0,37.0,23.639570181488097,-2.8232243655888034,10.10104576149136
z_above_mean_fft,583.0,21.821612349914236,6.206006358491277,2.0,22.0,24.0,25.0,30.0,38.51451492163416,-1.6565497511704912,1.5424534561294876
x_peak_count_fft,583.0,13.367066895368783,6.5208425662538305,0.0,13.0,16.0,17.0,23.0,42.521387773867836,-1.1701158156941343,0.022377054700087662
y_peak_count_fft,583.0,15.298456260720412,3.9490023557730956,1.0,14.0,16.0,17.0,24.0,15.594619605901457,-1.6687148810538688,3.732357883530867
z_peak_count_fft,583.0,14.608919382504288,4.304723214959027,1.0,14.0,16.0,17.0,23.0,18.53064195740718,-1.024800943969271,0.5622912868427061
x_skewness_fft,500.0,0.3381993033708217,0.5903312514175145,-0.5503641721074832,0.050633706239028874,0.2812057212354063,0.5060803714884314,5.652345865158004,0.3484909864001688,4.873423456894526,36.01439876739678
y_skewness_fft,583.0,0.46684512572178644,1.0715798501774576,-0.8434392244009615,0.04228548891889415,0.2547240477415882,0.4677532477610416,5.426952756200196,1.1482833753063424,3.8467183140913317,14.868310252577585
z_skewness_fft,583.0,0.710180314105281,1.3399365671304866,-3.57292732927955,0.0269512500021044,0.2756929716543106,0.6404023210996483,5.657650937537377,1.7954300039334328,1.7921481405487678,2.4358915785510136
x_kurtosis_fft,500.0,-0.15812000046645566,2.7020965427728765,-1.4919300596984768,-0.8078005024875895,-0.5696429697472991,-0.18721956669033565,33.184185617563955,7.301325726465132,9.641950393812767,101.43108681713015
y_kurtosis_fft,583.0,0.736674265178561,5.794498389590388,-1.692168910964457,-0.8299550036817147,-0.5908743596719752,-0.24087848809767132,29.735097144673997,33.5762115869656,4.56312631023557,19.31506514782015
z_kurtosis_fft,583.0,1.8993729146204115,6.077770983108015,-1.5997204091467232,-0.7662129065667163,-0.4715461162056678,0.0876361615700709,33.29348028898268,36.93930012310977,2.339311416311466,4.251016591313395
x_energy_fft,583.0,9840.346987453979,26373.552152859967,0.0,135.32,546.5999999999999,1210.48,167099.48,695564253.1596246,3.398905036726048,12.10983583077446
y_energy_fft,583.0,9422.706950923572,75452.8852004687,3.231174267785264e-28,77.15999999999997,262.7199999999999,613.66,1191827.7199999995,5693137885.075109,13.605106586637671,196.3114866982299
z_energy_fft,583.0,3518.6713982938604,11410.332296505117,4.1399420305998686e-29,43.42,173.47999999999996,537.5999999999999,135330.76000000004,130195683.11666773,6.482408661890832,58.89239670011164
avg_result_accl_fft,583.0,69.81715456396859,105.88108911658796,1.1871067811865468,17.99620477760503,30.236367247035737,44.16991787041907,502.8365536099243,11210.805032514842,2.2270354832370316,4.0596700970976904
