Time,X,Y,Z,Tap,Double_Tap
2025-03-02T19:15:47.363933,16,244,112,0,0
2025-03-02T19:15:47.385281,16,244,114,0,0
2025-03-02T19:15:47.407637,17,244,114,0,0
2025-03-02T19:15:47.429498,16,243,114,0,0
2025-03-02T19:15:47.451772,16,245,112,0,0
2025-03-02T19:15:47.473248,17,244,114,0,0
2025-03-02T19:15:47.496422,16,244,114,0,0
2025-03-02T19:15:47.517577,17,244,114,0,0
2025-03-02T19:15:47.539203,17,243,113,0,0
2025-03-02T19:15:47.561625,15,245,112,0,0
2025-03-02T19:15:47.584103,17,244,112,0,0
2025-03-02T19:15:47.605639,16,244,112,0,0
2025-03-02T19:15:47.628002,16,244,113,0,0
2025-03-02T19:15:47.650027,18,243,112,0,0
2025-03-02T19:15:47.779843,16,244,114,0,0
2025-03-02T19:15:47.787297,16,243,112,0,0
2025-03-02T19:15:47.793294,17,244,113,0,0
2025-03-02T19:15:47.803370,16,244,114,0,0
2025-03-02T19:15:47.809374,17,243,116,0,0
2025-03-02T19:15:47.815573,16,245,114,0,0
2025-03-02T19:15:47.822755,17,244,114,0,0
2025-03-02T19:15:47.829233,16,245,114,0,0
2025-03-02T19:15:47.844709,16,243,112,0,0
2025-03-02T19:15:47.867168,17,244,113,0,0
2025-03-02T19:15:47.888964,16,245,112,0,0
2025-03-02T19:15:47.911193,17,244,111,0,0
2025-03-02T19:15:47.932924,16,244,112,0,0
2025-03-02T19:15:47.954761,16,245,114,0,0
2025-03-02T19:15:47.977384,15,244,112,0,0
2025-03-02T19:15:47.998966,16,244,113,0,0
2025-03-02T19:15:48.020566,16,246,113,0,0
2025-03-02T19:15:48.043468,16,245,113,0,0
2025-03-02T19:15:48.064838,17,244,112,0,0
2025-03-02T19:15:48.087164,16,244,113,0,0
2025-03-02T19:15:48.108833,16,245,113,0,0
2025-03-02T19:15:48.131077,16,244,113,0,0
2025-03-02T19:15:48.153056,16,245,112,0,0
2025-03-02T19:15:48.175027,17,243,112,0,0
2025-03-02T19:15:48.196895,14,244,112,0,0
2025-03-02T19:15:48.335427,-28,202,102,0,0
2025-03-02T19:15:48.342812,48,244,107,0,0
2025-03-02T19:15:48.349380,37,244,112,0,0
2025-03-02T19:15:48.357148,4,240,118,0,0
2025-03-02T19:15:48.363881,6,246,111,0,0
2025-03-02T19:15:48.371279,24,241,110,0,0
2025-03-02T19:15:48.377163,19,243,115,0,0
2025-03-02T19:15:48.383622,10,244,114,0,0
2025-03-02T19:15:48.391194,16,243,112,0,0
2025-03-02T19:15:48.414510,19,244,112,0,0
2025-03-02T19:15:48.435588,14,243,114,0,0
2025-03-02T19:15:48.457636,17,245,112,0,0
2025-03-02T19:15:48.478396,16,244,112,0,0
2025-03-02T19:15:48.500526,15,245,113,0,0
2025-03-02T19:15:48.522228,17,245,112,0,0
2025-03-02T19:15:48.644320,16,244,113,1,0
2025-03-02T19:15:48.666130,16,243,113,0,0
2025-03-02T19:15:48.687921,17,244,113,0,0
2025-03-02T19:15:48.709803,16,244,114,0,0
2025-03-02T19:15:48.731983,17,244,113,0,0
2025-03-02T19:15:48.754024,17,245,113,0,0
2025-03-02T19:15:48.885230,16,243,113,0,0
2025-03-02T19:15:48.894006,17,246,112,0,0
2025-03-02T19:15:48.903762,17,244,111,0,0
2025-03-02T19:15:48.911513,16,244,113,0,0
2025-03-02T19:15:48.919615,17,244,113,0,0
2025-03-02T19:15:48.929345,16,243,114,0,0
2025-03-02T19:15:48.936324,16,244,113,0,0
2025-03-02T19:15:48.943316,16,245,113,0,0
2025-03-02T19:15:48.950840,16,243,113,0,0
2025-03-02T19:15:48.968970,17,243,112,0,0
2025-03-02T19:15:48.990480,16,244,111,0,0
2025-03-02T19:15:49.012998,17,245,112,0,0
2025-03-02T19:15:49.034928,16,243,112,0,0
2025-03-02T19:15:49.056763,15,244,113,0,0
2025-03-02T19:15:49.079201,17,244,112,0,0
2025-03-02T19:15:49.101932,15,244,112,0,0
2025-03-02T19:15:49.123557,15,243,113,0,0
2025-03-02T19:15:49.145042,17,244,112,0,0
2025-03-02T19:15:49.167629,15,245,113,0,0
2025-03-02T19:15:49.188517,17,244,113,0,0
2025-03-02T19:15:49.210772,16,244,112,0,0
2025-03-02T19:15:49.234161,15,245,112,0,0
2025-03-02T19:15:49.254903,17,244,112,0,0
2025-03-02T19:15:49.276694,17,243,114,0,0
2025-03-02T19:15:49.299110,16,244,111,0,0
2025-03-02T19:15:49.430665,16,244,112,0,0
2025-03-02T19:15:49.439368,17,243,113,0,0
2025-03-02T19:15:49.449818,16,244,113,0,0
2025-03-02T19:15:49.457212,16,243,113,0,0
2025-03-02T19:15:49.464113,15,245,111,0,0
2025-03-02T19:15:49.471091,16,246,113,0,0
2025-03-02T19:15:49.477855,16,243,112,0,0
2025-03-02T19:15:49.484089,14,245,111,0,0
2025-03-02T19:15:49.492265,17,244,112,0,0
2025-03-02T19:15:49.514649,16,244,114,0,0
2025-03-02T19:15:49.538019,17,245,113,0,0
2025-03-02T19:15:49.558988,15,244,114,0,0
2025-03-02T19:15:49.580724,-61,198,78,0,0
2025-03-02T19:15:49.603364,-4,234,136,0,0
2025-03-02T19:15:49.624440,1,260,110,0,0
2025-03-02T19:15:49.646775,45,250,113,0,0
2025-03-02T19:15:49.668980,39,255,110,0,0
2025-03-02T19:15:49.690768,4,242,116,0,0
2025-03-02T19:15:49.712735,12,242,114,0,0
2025-03-02T19:15:49.735045,24,242,112,0,0
2025-03-02T19:15:49.756559,18,243,113,0,0
2025-03-02T19:15:49.778673,14,246,113,0,0
2025-03-02T19:15:49.800917,17,245,111,0,0
2025-03-02T19:15:49.822999,15,246,113,0,0
2025-03-02T19:15:49.844769,17,244,114,0,0
2025-03-02T19:15:49.984345,17,243,113,0,0
2025-03-02T19:15:49.992184,16,244,114,0,0
2025-03-02T19:15:49.999235,17,244,113,0,0
2025-03-02T19:15:50.006376,17,244,112,0,0
2025-03-02T19:15:50.012928,17,243,112,0,0
2025-03-02T19:15:50.020132,17,244,112,0,0
2025-03-02T19:15:50.028087,16,245,112,0,0
2025-03-02T19:15:50.035320,17,244,114,0,0
2025-03-02T19:15:50.041729,16,244,113,0,0
2025-03-02T19:15:50.060989,16,244,113,0,0
2025-03-02T19:15:50.082728,17,244,113,0,0
2025-03-02T19:15:50.105142,18,243,112,0,0
2025-03-02T19:15:50.127095,16,245,113,0,0
2025-03-02T19:15:50.149187,16,245,114,0,0
2025-03-02T19:15:50.171315,17,245,113,0,0
2025-03-02T19:15:50.194065,16,244,111,0,0
2025-03-02T19:15:50.215041,17,244,113,0,0
2025-03-02T19:15:50.236598,16,243,112,0,0
2025-03-02T19:15:50.260261,16,245,114,0,0
2025-03-02T19:15:50.281039,16,244,113,0,0
2025-03-02T19:15:50.303312,16,243,113,0,0
2025-03-02T19:15:50.324744,16,243,112,0,0
2025-03-02T19:15:50.347412,16,244,112,0,0
2025-03-02T19:15:50.368420,17,244,112,0,0
2025-03-02T19:15:50.390455,16,244,114,0,0
2025-03-02T19:15:50.524962,16,245,113,0,0
2025-03-02T19:15:50.531635,15,244,113,0,0
2025-03-02T19:15:50.537155,-90,216,72,0,0
2025-03-02T19:15:50.543042,-21,236,110,0,0
2025-03-02T19:15:50.549205,26,246,110,0,0
2025-03-02T19:15:50.555256,2,214,109,0,0
2025-03-02T19:15:50.562297,19,214,119,0,0
2025-03-02T19:15:50.569684,42,249,107,0,0
2025-03-02T19:15:50.585625,0,241,113,0,0
